[23:28:34.519] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1294.9999180614693}, Size=35.33333333333333x26.666666666666664, Velocity=2.819383920702141, Rotation=0
[23:28:34.520] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1292.6341114460788}, Size=35.33333333333333x26.666666666666664, Velocity=2.819383920702141, Rotation=0
[23:28:34.521] PLAYER COLLIDER: Position={-1694.4587496392903 -1294.9999180614693}, Radius=15.5, Velocity=2.819383920702141, Rotation=0
[23:28:34.536] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1297.481254426298}, Size=35.33333333333333x26.666666666666664, Velocity=2.873994785303195, Rotation=0
[23:28:34.537] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1294.9999180614693}, Size=35.33333333333333x26.666666666666664, Velocity=2.873994785303195, Rotation=0
[23:28:34.538] PLAYER COLLIDER: Position={-1694.4587496392903 -1297.481254426298}, Radius=15.5, Velocity=2.873994785303195, Rotation=0
[23:28:34.553] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1300.0186199903833}, Size=35.33333333333333x26.666666666666664, Velocity=2.924333741631001, Rotation=0
[23:28:34.554] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1297.481254426298}, Size=35.33333333333333x26.666666666666664, Velocity=2.924333741631001, Rotation=0
[23:28:34.555] PLAYER COLLIDER: Position={-1694.4587496392903 -1300.0186199903833}, Radius=15.5, Velocity=2.924333741631001, Rotation=0
[23:28:34.569] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1302.5212329100043}, Size=35.33333333333333x26.666666666666664, Velocity=2.9691935710136703, Rotation=0
[23:28:34.570] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1300.0186199903833}, Size=35.33333333333333x26.666666666666664, Velocity=2.9691935710136703, Rotation=0
[23:28:34.572] PLAYER COLLIDER: Position={-1694.4587496392903 -1302.5212329100043}, Radius=15.5, Velocity=2.9691935710136703, Rotation=0
[23:28:34.586] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1305.1682183580638}, Size=35.33333333333333x26.666666666666664, Velocity=3.0122231835554563, Rotation=0
[23:28:34.587] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1302.5212329100043}, Size=35.33333333333333x26.666666666666664, Velocity=3.0122231835554563, Rotation=0
[23:28:34.588] PLAYER COLLIDER: Position={-1694.4587496392903 -1305.1682183580638}, Radius=15.5, Velocity=3.0122231835554563, Rotation=0
[23:28:34.603] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1307.9199456963697}, Size=35.33333333333333x26.666666666666664, Velocity=3.052702024775207, Rotation=0
[23:28:34.604] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1305.1682183580638}, Size=35.33333333333333x26.666666666666664, Velocity=3.052702024775207, Rotation=0
[23:28:34.606] PLAYER COLLIDER: Position={-1694.4587496392903 -1307.9199456963697}, Radius=15.5, Velocity=3.052702024775207, Rotation=0
[23:28:34.619] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1310.5449754473698}, Size=35.33333333333333x26.666666666666664, Velocity=3.0876520986516947, Rotation=0
[23:28:34.620] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1307.9199456963697}, Size=35.33333333333333x26.666666666666664, Velocity=3.0876520986516947, Rotation=0
[23:28:34.622] PLAYER COLLIDER: Position={-1694.4587496392903 -1310.5449754473698}, Radius=15.5, Velocity=3.0876520986516947, Rotation=0
[23:28:34.637] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1313.3671038506452}, Size=35.33333333333333x26.666666666666664, Velocity=3.1218552031541695, Rotation=0
[23:28:34.638] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1310.5449754473698}, Size=35.33333333333333x26.666666666666664, Velocity=3.1218552031541695, Rotation=0
[23:28:34.639] PLAYER COLLIDER: Position={-1694.4587496392903 -1313.3671038506452}, Radius=15.5, Velocity=3.1218552031541695, Rotation=0
[23:28:34.653] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1316.1050979030929}, Size=35.33333333333333x26.666666666666664, Velocity=3.151953335743276, Rotation=0
[23:28:34.654] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1313.3671038506452}, Size=35.33333333333333x26.666666666666664, Velocity=3.151953335743276, Rotation=0
[23:28:34.655] PLAYER COLLIDER: Position={-1694.4587496392903 -1316.1050979030929}, Radius=15.5, Velocity=3.151953335743276, Rotation=0
[23:28:34.669] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1318.7734825860496}, Size=35.33333333333333x26.666666666666664, Velocity=3.178691742844342, Rotation=0
[23:28:34.670] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1316.1050979030929}, Size=35.33333333333333x26.666666666666664, Velocity=3.178691742844342, Rotation=0
[23:28:34.671] PLAYER COLLIDER: Position={-1694.4587496392903 -1318.7734825860496}, Radius=15.5, Velocity=3.178691742844342, Rotation=0
[23:28:34.687] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1321.8189492605663}, Size=35.33333333333333x26.666666666666664, Velocity=3.206584255601419, Rotation=0
[23:28:34.688] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1318.7734825860496}, Size=35.33333333333333x26.666666666666664, Velocity=3.206584255601419, Rotation=0
[23:28:34.690] PLAYER COLLIDER: Position={-1694.4587496392903 -1321.8189492605663}, Radius=15.5, Velocity=3.206584255601419, Rotation=0
[23:28:34.702] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1324.396945211883}, Size=35.33333333333333x26.666666666666664, Velocity=3.2279825376920677, Rotation=0
[23:28:34.703] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1321.8189492605663}, Size=35.33333333333333x26.666666666666664, Velocity=3.2279825376920677, Rotation=0
[23:28:34.704] PLAYER COLLIDER: Position={-1694.4587496392903 -1324.396945211883}, Radius=15.5, Velocity=3.2279825376920677, Rotation=0
[23:28:34.719] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1327.168801224103}, Size=35.33333333333333x26.666666666666664, Velocity=3.2491535479765092, Rotation=0
[23:28:34.719] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1324.396945211883}, Size=35.33333333333333x26.666666666666664, Velocity=3.2491535479765092, Rotation=0
[23:28:34.720] PLAYER COLLIDER: Position={-1694.4587496392903 -1327.168801224103}, Radius=15.5, Velocity=3.2491535479765092, Rotation=0
[23:28:34.737] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1330.4134191287767}, Size=35.33333333333333x26.666666666666664, Velocity=3.2718262535706533, Rotation=0
[23:28:34.738] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1327.168801224103}, Size=35.33333333333333x26.666666666666664, Velocity=3.2718262535706533, Rotation=0
[23:28:34.739] PLAYER COLLIDER: Position={-1694.4587496392903 -1330.4134191287767}, Radius=15.5, Velocity=3.2718262535706533, Rotation=0
[23:28:34.752] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1332.9734062413131}, Size=35.33333333333333x26.666666666666664, Velocity=3.2880068757205234, Rotation=0
[23:28:34.753] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1330.4134191287767}, Size=35.33333333333333x26.666666666666664, Velocity=3.2880068757205234, Rotation=0
[23:28:34.754] PLAYER COLLIDER: Position={-1694.4587496392903 -1332.9734062413131}, Radius=15.5, Velocity=3.2880068757205234, Rotation=0
[23:28:34.770] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1335.9791554042458}, Size=35.33333333333333x26.666666666666664, Velocity=3.305551172633333, Rotation=0
[23:28:34.770] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1332.9734062413131}, Size=35.33333333333333x26.666666666666664, Velocity=3.305551172633333, Rotation=0
[23:28:34.771] PLAYER COLLIDER: Position={-1694.4587496392903 -1335.9791554042458}, Radius=15.5, Velocity=3.305551172633333, Rotation=0
[23:28:34.785] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1338.780384349053}, Size=35.33333333333333x26.666666666666664, Velocity=3.3204719305507195, Rotation=0
[23:28:34.786] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1335.9791554042458}, Size=35.33333333333333x26.666666666666664, Velocity=3.3204719305507195, Rotation=0
[23:28:34.787] PLAYER COLLIDER: Position={-1694.4587496392903 -1338.780384349053}, Radius=15.5, Velocity=3.3204719305507195, Rotation=0
[23:28:34.802] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1341.6768445975888}, Size=35.33333333333333x26.666666666666664, Velocity=3.33464728767361, Rotation=0
[23:28:34.803] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1338.780384349053}, Size=35.33333333333333x26.666666666666664, Velocity=3.33464728767361, Rotation=0
[23:28:34.803] PLAYER COLLIDER: Position={-1694.4587496392903 -1341.6768445975888}, Radius=15.5, Velocity=3.33464728767361, Rotation=0
[23:28:34.819] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1344.6546433468752}, Size=35.33333333333333x26.666666666666664, Velocity=3.348009175527802, Rotation=0
[23:28:34.820] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1341.6768445975888}, Size=35.33333333333333x26.666666666666664, Velocity=3.348009175527802, Rotation=0
[23:28:34.820] PLAYER COLLIDER: Position={-1694.4587496392903 -1344.6546433468752}, Radius=15.5, Velocity=3.348009175527802, Rotation=0
[23:28:34.836] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1347.6990648133751}, Size=35.33333333333333x26.666666666666664, Velocity=3.360513065724171, Rotation=0
[23:28:34.837] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1344.6546433468752}, Size=35.33333333333333x26.666666666666664, Velocity=3.360513065724171, Rotation=0
[23:28:34.838] PLAYER COLLIDER: Position={-1694.4587496392903 -1347.6990648133751}, Radius=15.5, Velocity=3.360513065724171, Rotation=0
[23:28:34.853] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1350.7211648401367}, Size=35.33333333333333x26.666666666666664, Velocity=3.3718606628193313, Rotation=0
[23:28:34.854] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1347.6990648133751}, Size=35.33333333333333x26.666666666666664, Velocity=3.3718606628193313, Rotation=0
[23:28:34.855] PLAYER COLLIDER: Position={-1694.4587496392903 -1350.7211648401367}, Radius=15.5, Velocity=3.3718606628193313, Rotation=0
[23:28:34.869] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1353.5468114657265}, Size=35.33333333333333x26.666666666666664, Velocity=3.3815757000248423, Rotation=0
[23:28:34.869] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1350.7211648401367}, Size=35.33333333333333x26.666666666666664, Velocity=3.3815757000248423, Rotation=0
[23:28:34.870] PLAYER COLLIDER: Position={-1694.4587496392903 -1353.5468114657265}, Radius=15.5, Velocity=3.3815757000248423, Rotation=0
[23:28:34.886] PLAYER AABB COLLIDER: Position={-1694.4587496392903 -1356.6084913024379}, Size=35.33333333333333x26.666666666666664, Velocity=3.391272637358666, Rotation=0
